0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
JLPT-N1	127	危機	きき	Noun	1.-crisis; critical situation; emergency; pinch	2.-Close to the Edge (Yes album)																								
JLPT-N1	128	交渉	こうしょう	Noun, Suru verb, No-adjective	1.-negotiations; discussions	2.-connection	3.-Negotiation																							
JLPT-N1	129	勝利	しょうり	Noun, Suru verb	1.-victory; triumph; conquest; success; win	2.-Victory																								
JLPT-N1	130	予想	よそう	Noun, Suru verb, No-adjective	1.-expectation; anticipation; prediction; forecast; conjecture	2.-Conjecture																								
JLPT-N1	131	距離	きょり	Noun	1.-distance; range	2.-Distance																								
JLPT-N1	132	政策	せいさく	Noun	1.-political measures; policy	2.-Policy																								
JLPT-N1	133	幽霊	ゆうれい	Noun	1.-ghost; specter; spectre; apparition; phantom	2.-Yūrei																								
JLPT-N1	134	洪水	こうずい	Noun	1.-flood; flooding	2.-Flood																								
JLPT-N1	135	同情	どうじょう	Noun, Suru verb	1.-sympathy; compassion; pity	2.-Sympathy																								
JLPT-N1	136	航海	こうかい	Noun, Suru verb	1.-(sea) voyage; navigation; sailing; passage; cruise	2.-Navigation																								
JLPT-N1	137	破壊	はかい	Noun, Suru verb	1.-destruction; disruption	2.-(application) crash	3.-Subversion																							
JLPT-N1	138	自信	じしん	Noun, Suru verb	1.-self-confidence; confidence (in oneself)	2.-Confidence																								
JLPT-N1	139	世代	せだい	Noun, No-adjective	1.-generation; the world; the age	2.-Generation																								
JLPT-N1	140	殺人	さつじん	Noun	1.-murder; homicide; manslaughter	2.-Murder																								
JLPT-N1	141	資格	しかく	Noun	1.-qualifications; requirements; capabilities	2.-Professional certification																								
JLPT-N1	142	殺人	さつじん	Noun	1.-murder; homicide; manslaughter	2.-Murder																								
JLPT-N1	143	治療	ちりょう	Noun, Suru verb, No-adjective	1.-medical treatment; cure	2.-Therapy																								
JLPT-N1	144	小切手	こぎって	Noun	1.-cheque; check	2.-Cheque																								
JLPT-N1	145	反応	はんのう	Noun, Suru verb	1.-reaction; response	2.-Reaction																								
JLPT-N1	146	報道	ほうどう	Noun	1.-information; report; journalism; news	2.-to report	3.-Journalism																							
JLPT-N1	147	企画	きかく	Noun, Suru verb	1.-planning; project; plan; design	2.-Planning																								
JLPT-N1	148	制服	せいふく	Noun	1.-uniform	2.-Uniform																								
JLPT-N1	149	賃金	ちんぎん	Noun, No-adjective	1.-wages	2.-cash payment of rent	3.-Wage																							
JLPT-N1	150	名誉	めいよ	Na-adjective, Noun	1.-honor; honour; credit; prestige	2.-Honour																								
JLPT-N1	151	権力	けんりょく	Noun, No-adjective	1.-(political) power; authority; influence	2.-Power (philosophy)																								
JLPT-N1	152	暴力	ぼうりょく	Noun	1.-violence; mayhem	2.-Violence																								
JLPT-N1	153	貧困	ひんこん	Noun, Na-adjective, No-adjective	1.-poverty; penury; need; destitution	2.-shortage; lack; want	3.-Poverty																							
JLPT-N1	154	美	び	Noun, Noun - used as a suffix	1.-beauty	2.-Beauty																								
JLPT-N1	155	保険	ほけん	Noun, No-adjective	1.-insurance; guarantee	2.-Insurance																								
JLPT-N1	156	孤独	こどく	Noun, Na-adjective, No-adjective	1.-solitude; loneliness; isolation	2.-Solitude																								
JLPT-N1	157	妥協	だきょう	Noun, Suru verb	1.-compromise; giving in	2.-Compromise																								
JLPT-N1	158	聖書	せいしょ	Noun, No-adjective	1.-Bible; scriptures	2.-Bible																								
JLPT-N1	159	昆虫	こんちゅう	Noun, No-adjective	1.-insect; bug	2.-Insect																								
JLPT-N1	160	古代	こだい	Na-adjective, Adverbial noun, Temporal noun	1.-ancient times	2.-Ancient history																								
JLPT-N1	161	保護	ほご	Noun, Suru verb	1.-protection; safeguard; guardianship; custody; patronage	2.-preservation; conservation	3.-Protection																							
JLPT-N1	162	向き	む	Noun, Noun - used as a suffix	1.-direction; orientation; aspect; exposure	2.-suited to; suitable for; designed for	3.-tendency; inclination	4.-nature (of a request or desire)	5.-person	6.-Orientation (vector space)																				
JLPT-N1	163	古代	こだい	Na-adjective, Adverbial noun, Temporal noun	1.-ancient times	2.-Ancient history																								
JLPT-N1	164	判決	はんけつ	Noun, Suru verb, No-adjective	1.-judicial decision; judgement; judgment; sentence; decree	2.-Judgment (law)																								
JLPT-N1	165	規制	きせい	Noun, Suru verb	1.-regulation; (traffic) policing; control; restriction	2.-Regulation																								
JLPT-N1	166	真ん中	まなか	Noun	1.-middle; centre; center; midpoint; heart																									
JLPT-N1	167	着陸	ちゃくりく	Noun, Suru verb	1.-landing; alighting; touch down	2.-Landing																								
JLPT-N1	168	倒産	とうさん	Noun, Suru verb	1.-(corporate) bankruptcy; insolvency; commercial failure; failed business	2.-Bankruptcy																								
JLPT-N1	169	入浴	にゅうよく	Noun	1.-bathing	2.-to bathe; to take a bath; to enter a bath	3.-Bathing																							
JLPT-N1	170	偏見	へんけん	Noun	1.-prejudice; bias; distorted view	2.-Prejudice																								
JLPT-N1	171	財政	ざいせい	Noun	1.-public finance	2.-financial affairs; financial situation	3.-Public finance																							
JLPT-N1	172	証言	しょうげん	Noun, Suru verb	1.-testimony; (verbal) evidence	2.-Testimony																								
JLPT-N1	173	報酬	ほうしゅう	Noun	1.-remuneration; recompense; reward; toll	2.-Remuneration																								
JLPT-N1	174	祈り	いの	Noun	1.-prayer; supplication	2.-Prayer																								
JLPT-N1	175	動機	どうき	Noun	1.-motive; incentive	2.-motif	3.-Motive																							
JLPT-N1	176	人民	じんみん	Noun	1.-people; public	2.-People																								
JLPT-N1	177	決断	けつだん	Noun, Suru verb	1.-decision; determination	2.-Decision																								
JLPT-N1	178	革命	かくめい	Noun, No-adjective	1.-revolution	2.-58th year of the sexagenary cycle (in Onmyōdō)	3.-Revolution																							
